x_axis,z_axis,time,task_name
0.0,0.08333333333333333,0.0,ascent
0.0,0.16666666666666666,0.703125,ascent
0.0,0.25,1.40625,ascent
0.0,0.3333333333333333,2.109375,ascent
0.0,0.41666666666666663,2.8125,ascent
0.0,0.49999999999999994,3.515625,ascent
0.0,0.3999999999999999,4.21875,descent
0.0,0.29999999999999993,4.921875,descent
-0.125,0.29999999999999993,5.625,away
-0.125,0.19999999999999993,6.328125,descent
0.0,0.19999999999999993,7.03125,towards
-0.125,0.19999999999999993,7.734375,away
-0.25,0.19999999999999993,8.4375,away
-0.375,0.19999999999999993,9.140625,away
-0.25,0.19999999999999993,9.84375,towards
-0.25,0.19999999999999993,10.546875,turn
-0.375,0.19999999999999993,11.25,away
-0.375,0.19999999999999993,11.953125,turn
-0.375,0.19999999999999993,12.65625,turn
-0.5,0.19999999999999993,13.359375,away
-0.625,0.19999999999999993,14.0625,away
-0.5,0.19999999999999993,14.765625,towards
-0.375,0.19999999999999993,15.46875,towards
-0.5,0.19999999999999993,16.171875,away
-0.625,0.19999999999999993,16.875,away
-0.5,0.19999999999999993,17.578125,towards
-0.375,0.19999999999999993,18.28125,towards
-0.375,0.28333333333333327,18.984375,ascent
-0.5,0.28333333333333327,19.6875,away
-0.625,0.28333333333333327,20.390625,away
-0.625,0.3666666666666666,21.09375,ascent
-0.625,0.4499999999999999,21.796875,ascent
-0.625,0.34999999999999987,22.5,descent
